Date,Discharge,BOD,TSS,OG,pH,Phenols,COD
4/1/2015,,,71,nil,7,0.1,19
4/2/2015,,,64,nil,8,0.1,37
4/3/2015,,,91,nil,7,0.1,30
4/4/2015,,,,nil,8,0.1,33
4/5/2015,,,10,1,8,0.1,51
4/6/2015,,,15,nil,8,0.1,46
4/7/2015,,,6,1,8,0.1,25
4/8/2015,,,6,nil,7,0.1,18
4/9/2015,,,,nil,7,0.1,21
4/10/2015,,,,1,7,0.1,28
4/11/2015,,,6,nil,7,0.1,45
4/12/2015,,,31,nil,8,0.1,32
4/13/2015,0,,28,nil,8,0.1,80
4/14/2015,,,6,nil,8,0.2,48
4/15/2015,,,23,1,7,0.2,72
4/16/2015,,,,nil,7,0.2,76
4/17/2015,,,27,nil,7,0.2,60
4/18/2015,,,22,nil,8,0.1,42
4/19/2015,,,39,nil,7,0.1,39
4/20/2015,0,,12,nil,7,0.1,72
4/21/2015,0,,40,nil,7,0.1,74
4/22/2015,0,,45,nil,8,0.1,89
4/23/2015,0,,64,nil,10,0.1,120
4/24/2015,0,,102,nil,10,0.1,104
4/25/2015,0,,136,nil,8,0.1,110
4/26/2015,0,,148,nil,8,0.1,80
4/27/2015,0,,98,nil,8,0.1,80
4/28/2015,0,,86,nil,10,0.1,72
4/29/2015,,,93,nil,7,0.1,56
4/30/2015,,,-,nil,8,0.3,48
5/1/2015,,,-,nil,7,0.4,44
5/2/2015,,,28,nil,7,0.1,39
5/3/2015,,,34,nil,7,0.1,38
5/4/2015,,,32,nil,7,0.1,46
5/5/2015,,,32,nil,7,0.1,46
5/6/2015,,,19,nil,7,0.1,56
5/7/2015,,,23,2,7,0.1,46
5/8/2015,,,45,1,7,0.1,38
5/9/2015,,,39,nil,7,0.1,36
5/10/2015,,,13,nil,7,0.3,39
5/11/2015,,,9,nil,7,0.4,39
5/12/2015,0,,27,2,7,0.1,93
5/13/2015,0,,24,nil,7,0.1,97
5/14/2015,0,,34,nil,-,nil,72
5/15/2015,0,,-,-,-,nil,80
5/16/2015,,,19,-,-,0.1,40
5/17/2015,,,7,nil,-,nil,49
5/18/2015,,7,17,nil,-,nil,44
5/19/2015,,,13,nil,-,nil,36
5/20/2015,,,15,nil,-,nil,37
5/21/2015,,,-,nil,-,nil,42
5/22/2015,,,31,nil,-,0.1,45
5/23/2015,,,26,nil,-,nil,47
5/24/2015,,,38,nil,-,nil,48
5/25/2015,0,19,4,nil,8,0.1,76
5/26/2015,,,5,nil,8,0.2,39
5/27/2015,,,20,nil,7,0.2,60
5/28/2015,,,38,nil,7,0.1,56
5/29/2015,,,26,nil,8,0.1,55
5/30/2015,,,-,nil,7,0.1,49
5/31/2015,,,4,nil,8,0.1,38
6/1/2015,,8,6,nil,7,<0.1,57
6/2/2015,0,,18,nil,7,<0.1,146
6/3/2015,0,,21,nil,7,<0.1,160
6/4/2015,,,29,nil,8,<0.1,55
6/5/2015,,,18,nil,7,<0.1,10
6/6/2015,,,20,nil,8,<0.1,29
6/7/2015,,,22,nil,8,<0.1,26
6/8/2015,,,13,nil,8,<0.1,56
6/9/2015,0,,10,nil,7,<0.1,143
6/10/2015,,,,,8,<0.1,54
6/11/2015,,,,,7,<0.1,56
6/12/2015,,,,nil,7,<0.1,31
6/13/2015,,,,nil,8,<0.1,37
6/14/2015,,,22,nil,8,<0.1,29
6/15/2015,,,20,nil,7,<0.1,39
6/16/2015,,,19,nil,7,<0.1,41
6/17/2015,,,16,nil,7,<0.1,39
6/18/2015,,,20,nil,7,<0.1,29
6/19/2015,0,,17,nil,7,<0.1,138
6/20/2015,,,13,nil,7,<0.1,60
6/21/2015,,,10,no sample,7,<0.1,25
6/22/2015,,,12,nil,8,<0.1,38
6/23/2015,,,16,no sample,8,<0.1,32
6/24/2015,,,13,nil,8,<0.1,51
6/25/2015,,,30,nil,7,<0.1,40
6/26/2015,,,27,nil,8,<0.1,41
6/27/2015,,,,,8,<0.1,39
6/28/2015,,,34,nil,8,<0.1,14
6/29/2015,,,28,nil,8,<0.1,21
6/30/2015,0,,29,nil,8,<0.1,133
7/1/2015,,,-,-,8,<0.1,38
7/2/2015,No discharge,,39,-,8,<0.1,62
7/3/2015,No discharge,,42,-,8,<0.1,84
7/4/2015,,,-,1,8,<0.1,55
7/5/2015,No discharge,,64,-,7,<0.1,71
7/6/2015,No discharge,,175,-,7,<0.1,71
7/7/2015,No discharge,,6,-,7,<0.1,81
7/8/2015,,,43,-,8,<0.1,60
7/9/2015,,,10,-,8,<0.1,56
7/10/2015,,,28,-,8,<0.1,56
7/11/2015,,,21,-,7,<0.1,49
7/12/2015,No discharge,,33,-,7,<0.1,100
7/13/2015,,,35,-,7,<0.1,16
7/14/2015,,,40,-,8,<0.1,55
7/15/2015,,,34,-,8,<0.1,60
7/16/2015,No discharge,,40,-,8,<0.1,70
7/17/2015,No discharge,,38,-,7,<0.1,102
7/18/2015,,,34,-,8,<0.1,48
7/19/2015,,,-,-,7,<0.1,39
7/20/2015,,,39,-,7,<0.1,44
7/21/2015,,,-,-,7,<0.1,4
7/22/2015,,,10,-,8,<0.1,21
7/23/2015,,,31,-,8,<0.1,10
7/24/2015,,,29,-,8,<0.1,51
7/25/2015,,,32,-,8,<0.1,25
7/26/2015,,,26,-,8,<0.1,17
7/27/2015,,9,8,-,8,<0.1,30
7/28/2015,,,9,-,8,<0.1,53
7/29/2015,,,17,-,8,<0.1,6
7/30/2015,,,21,-,8,<0.1,53
