"Date","Discharge","BOD","TSS","OG","pH","Phenols","COD","Source"
2015-04-17,"0",NA,NA,5,7,0.5,120,"WWTP-1"
2015-07-28,"No discharge",NA,NA,3,7,0.02,43,"WWTP-1"
2015-08-08,"No discharge",NA,NA,1.3,7,0.03,32,"WWTP-1"
2017-09-17,"Maintenance S/D",NA,NA,NA,NA,NA,NA,"WWTP-1"
2017-09-18,"Maintenance S/D",NA,NA,NA,NA,NA,NA,"WWTP-1"
2017-09-19,"Maintenance S/D",NA,NA,NA,NA,NA,NA,"WWTP-1"
2017-09-20,"Maintenance S/D",NA,NA,NA,NA,NA,NA,"WWTP-1"
2017-09-21,"Maintenance S/D",NA,NA,NA,NA,NA,NA,"WWTP-1"
2017-09-22,"Maintenance S/D",NA,NA,NA,NA,NA,NA,"WWTP-1"
2017-09-23,"Maintenance S/D",NA,NA,NA,NA,NA,NA,"WWTP-1"
2017-09-24,"Maintenance S/D",NA,NA,NA,NA,NA,NA,"WWTP-1"
2017-09-25,"Maintenance S/D",NA,NA,NA,NA,NA,NA,"WWTP-1"
2017-09-26,"Maintenance S/D",NA,NA,NA,NA,NA,NA,"WWTP-1"
2017-09-27,"Maintenance S/D",NA,NA,NA,NA,NA,NA,"WWTP-1"
2017-09-28,"Maintenance S/D",NA,NA,NA,NA,NA,NA,"WWTP-1"
2015-04-13,"0",NA,28,0,8,0.1,80,"WWTP-2"
2015-04-20,"0",NA,12,0,7,0.1,72,"WWTP-2"
2015-04-21,"0",NA,40,0,7,0.1,74,"WWTP-2"
2015-04-22,"0",NA,45,0,8,0.1,89,"WWTP-2"
2015-04-23,"0",NA,64,0,10,0.1,120,"WWTP-2"
2015-04-24,"0",NA,102,0,10,0.1,104,"WWTP-2"
2015-04-25,"0",NA,136,0,8,0.1,110,"WWTP-2"
2015-04-26,"0",NA,148,0,8,0.1,80,"WWTP-2"
2015-04-27,"0",NA,98,0,8,0.1,80,"WWTP-2"
2015-04-28,"0",NA,86,0,10,0.1,72,"WWTP-2"
2015-05-12,"0",NA,27,2,7,0.1,93,"WWTP-2"
2015-05-13,"0",NA,24,0,7,0.1,97,"WWTP-2"
2015-05-14,"0",NA,34,0,NA,0,72,"WWTP-2"
2015-05-15,"0",NA,NA,NA,NA,0,80,"WWTP-2"
2015-05-25,"0",19,4,0,8,0.1,76,"WWTP-2"
2015-06-02,"0",NA,18,0,7,NA,146,"WWTP-2"
2015-06-03,"0",NA,21,0,7,NA,160,"WWTP-2"
2015-06-09,"0",NA,10,0,7,NA,143,"WWTP-2"
2015-06-19,"0",NA,17,0,7,NA,138,"WWTP-2"
2015-06-30,"0",NA,29,0,8,NA,133,"WWTP-2"
2015-07-02,"No discharge",NA,39,NA,8,NA,62,"WWTP-2"
2015-07-03,"No discharge",NA,42,NA,8,NA,84,"WWTP-2"
2015-07-05,"No discharge",NA,64,NA,7,NA,71,"WWTP-2"
2015-07-06,"No discharge",NA,175,NA,7,NA,71,"WWTP-2"
2015-07-07,"No discharge",NA,6,NA,7,NA,81,"WWTP-2"
2015-07-12,"No discharge",NA,33,NA,7,NA,100,"WWTP-2"
2015-07-16,"No discharge",NA,40,NA,8,NA,70,"WWTP-2"
2015-07-17,"No discharge",NA,38,NA,7,NA,102,"WWTP-2"
2015-08-09,"No discharge",NA,17,NA,8,NA,64,"WWTP-2"
2015-08-18,"No discharge",NA,113,NA,8,NA,182,"WWTP-2"
2015-08-20,"No discharge",NA,64,NA,NA,NA,NA,"WWTP-2"
2015-08-21,"No discharge",NA,63,NA,8,NA,14,"WWTP-2"
2015-08-22,"No discharge",NA,56,NA,7,NA,14,"WWTP-2"
2015-08-23,"No discharge",NA,53,NA,7,NA,21,"WWTP-2"
2015-08-24,"No discharge",13,54,NA,8,NA,41,"WWTP-2"
2015-08-27,"No discharge",NA,41,NA,8,NA,274,"WWTP-2"
2015-08-28,"No discharge",NA,39,NA,8,NA,75,"WWTP-2"
2015-09-02,"No discharge",NA,NA,NA,7,NA,594,"WWTP-2"
2015-09-03,"No discharge",NA,NA,NA,8,NA,491,"WWTP-2"
2015-09-04,"No discharge",NA,NA,NA,8,NA,263,"WWTP-2"
2015-09-05,"No discharge",NA,NA,NA,7,NA,88,"WWTP-2"
2015-09-06,"No discharge",NA,NA,NA,8,NA,76,"WWTP-2"
2015-09-08,"No discharge",NA,13,2,9,NA,112,"WWTP-2"
2015-09-09,"No discharge",NA,30,NA,8,NA,84,"WWTP-2"
2015-09-10,"No discharge",NA,NA,NA,8,NA,61,"WWTP-2"
2015-09-14,"No discharge",19,29,NA,7,NA,66,"WWTP-2"
2015-09-16,"No discharge",NA,52,NA,7,NA,38,"WWTP-2"
2015-09-18,"No discharge",NA,58,NA,7,NA,4,"WWTP-2"
2015-09-19,"No discharge",NA,62,NA,8,NA,73,"WWTP-2"
2015-09-20,"No discharge",NA,53,NA,8,NA,44,"WWTP-2"
2015-10-08,"No discharge",NA,56,0,7,NA,62,"WWTP-2"
2015-10-09,"No discharge",NA,63,0,8,NA,62,"WWTP-2"
2015-10-17,"No discharge",NA,53,0,7,NA,52,"WWTP-2"
2015-10-19,"No discharge",NA,6,0,7,NA,168,"WWTP-2"
2015-10-20,"No discharge",14,13,0,7,NA,164,"WWTP-2"
2015-10-21,"No discharge",NA,15,0,7,NA,95,"WWTP-2"
2015-10-22,"No discharge",NA,NA,0,6,NA,71,"WWTP-2"
2015-10-23,"No discharge",NA,NA,0,7,NA,93,"WWTP-2"
2015-10-27,"No discharge",NA,106,0,8,NA,49,"WWTP-2"
2015-10-28,"No discharge",NA,111,0,8,NA,54,"WWTP-2"
2015-10-29,"No discharge",NA,98,0,8,NA,60,"WWTP-2"
