"Date","Discharge","BOD","TSS","OG","pH","Phenols","COD","Source"
2015-07-01,NA,NA,NA,1,7,0.01,55,"WWTP-1"
2015-07-02,NA,NA,NA,1.3,7,0.04,58,"WWTP-1"
2015-07-03,NA,NA,NA,4,7,0.05,45,"WWTP-1"
2015-07-04,NA,NA,NA,1.3,7,0.02,55,"WWTP-1"
2015-07-05,NA,NA,NA,NA,7,0.03,60,"WWTP-1"
2015-07-06,NA,12,28,2.7,7,0.03,58,"WWTP-1"
2015-07-07,NA,NA,NA,1.3,7,0.04,54,"WWTP-1"
2015-07-08,NA,NA,NA,2.7,7,0.01,45,"WWTP-1"
2015-07-09,NA,NA,NA,1.3,7,0.05,60,"WWTP-1"
2015-07-10,NA,NA,NA,4,6,0.05,53,"WWTP-1"
2015-07-11,NA,NA,NA,4.3,6,0.03,57,"WWTP-1"
2015-07-12,NA,NA,NA,4,7,0.02,60,"WWTP-1"
2015-07-13,NA,26,47,5,6,0.05,55,"WWTP-1"
2015-07-14,NA,NA,NA,1.8,6,0.01,59,"WWTP-1"
2015-07-15,NA,NA,NA,2.6,7,0.02,52,"WWTP-1"
2015-07-16,NA,NA,NA,2.6,7,0.04,45,"WWTP-1"
2015-07-17,NA,NA,NA,3.3,7,0.04,58,"WWTP-1"
2015-07-18,NA,NA,NA,3,7,0.04,57,"WWTP-1"
2015-07-19,NA,NA,NA,2,7,0.02,51,"WWTP-1"
2015-07-20,NA,16,36,1.3,7,0.02,52,"WWTP-1"
2015-07-21,NA,NA,NA,2.7,7,0.04,53,"WWTP-1"
2015-07-22,NA,NA,NA,2.7,7,0.05,37,"WWTP-1"
2015-07-23,NA,NA,NA,5,7,0.01,46,"WWTP-1"
2015-07-24,NA,NA,NA,5,7,0.01,44,"WWTP-1"
2015-07-25,NA,NA,NA,5,7,0.03,60,"WWTP-1"
2015-07-26,NA,NA,NA,4,7,0.05,58,"WWTP-1"
2015-07-27,NA,12,50,1.3,7,0.04,53,"WWTP-1"
2015-07-29,NA,NA,NA,2.7,8,0.01,45,"WWTP-1"
2015-07-30,NA,NA,NA,3,7,0.05,37,"WWTP-1"
2015-07-31,NA,NA,NA,2.7,7,0.04,44,"WWTP-1"
2015-08-01,NA,NA,NA,2.7,7,0.01,45,"WWTP-1"
2015-08-02,NA,NA,NA,NA,7,0.04,52,"WWTP-1"
2015-08-03,NA,10,21,1.3,7,0.03,36,"WWTP-1"
2015-08-04,NA,NA,NA,1.3,7,0.02,20,"WWTP-1"
2015-08-05,NA,NA,NA,1.3,7,0.02,30,"WWTP-1"
2015-08-06,NA,NA,NA,1.3,7,0.03,31,"WWTP-1"
2015-08-07,NA,NA,NA,1.3,7,0.01,43,"WWTP-1"
2015-08-09,NA,NA,NA,3.8,7,0.05,58,"WWTP-1"
2015-08-10,NA,10,40,1.3,6,0.04,49,"WWTP-1"
2015-08-11,NA,NA,NA,2.7,6,0.04,20,"WWTP-1"
2015-08-12,NA,NA,NA,1.3,7,0.05,24,"WWTP-1"
2015-08-13,NA,NA,NA,1.3,6,0.05,60,"WWTP-1"
2015-08-14,NA,NA,NA,1.3,6,0.01,56,"WWTP-1"
2015-08-15,NA,NA,NA,1.3,7,0.03,60,"WWTP-1"
2015-08-16,NA,NA,NA,1.3,7,0.04,54,"WWTP-1"
2015-08-17,NA,19,15,NA,7,0.02,49,"WWTP-1"
2015-08-18,NA,NA,NA,2.7,7,0.03,44,"WWTP-1"
2015-08-19,NA,NA,NA,NA,7,0.04,54,"WWTP-1"
2015-08-20,NA,NA,NA,1.3,7,0.02,59,"WWTP-1"
2015-08-21,NA,NA,NA,1.3,7,0.05,51,"WWTP-1"
2015-08-22,NA,NA,NA,NA,7,0.05,12,"WWTP-1"
2015-08-23,NA,NA,NA,1.3,7,0.01,29,"WWTP-1"
2015-08-24,NA,5,49,2.7,7,0.03,46,"WWTP-1"
2015-08-25,NA,NA,NA,NA,7,0.02,44,"WWTP-1"
2015-08-26,NA,NA,NA,1.3,7,0.02,40,"WWTP-1"
2015-08-27,NA,NA,NA,NA,7,0.02,59,"WWTP-1"
2015-08-28,NA,NA,NA,1.3,7,0.02,53,"WWTP-1"
2015-08-29,NA,NA,NA,NA,8,0.01,33,"WWTP-1"
2015-08-30,NA,NA,NA,NA,7,0.05,38,"WWTP-1"
2015-08-31,NA,NA,NA,NA,7,0.02,19,"WWTP-1"
2015-09-01,NA,NA,NA,NA,7,0.05,40,"WWTP-1"
2015-09-02,NA,NA,NA,1.3,7,0.04,48,"WWTP-1"
2015-09-03,NA,NA,NA,1.3,7,0.05,31,"WWTP-1"
2015-09-04,NA,NA,NA,2.7,7,0.03,52,"WWTP-1"
2015-09-05,NA,NA,NA,NA,7,0.03,48,"WWTP-1"
2015-09-06,NA,NA,NA,NA,7,0.04,51,"WWTP-1"
2015-09-07,NA,25,38,1.3,7,0.01,48,"WWTP-1"
2015-09-08,NA,NA,NA,NA,7,0.01,58,"WWTP-1"
2015-09-09,NA,NA,NA,NA,7,0.03,60,"WWTP-1"
2015-09-10,NA,NA,NA,NA,6,0.04,57,"WWTP-1"
2015-09-11,NA,NA,NA,1.3,6,0.04,42,"WWTP-1"
2015-09-12,NA,NA,NA,4,7,0.04,54,"WWTP-1"
2015-09-13,NA,NA,NA,NA,6,0.05,46,"WWTP-1"
2015-09-14,NA,30,33,1.3,6,0.05,58,"WWTP-1"
2015-09-15,NA,NA,NA,NA,7,0.04,59,"WWTP-1"
2015-09-16,NA,NA,NA,1.3,7,0.03,57,"WWTP-1"
2015-09-17,NA,NA,NA,NA,7,0.02,56,"WWTP-1"
2015-09-18,NA,NA,NA,1.3,7,0.05,46,"WWTP-1"
2015-09-19,NA,NA,NA,1.3,7,0.05,44,"WWTP-1"
