"Date","Discharge","BOD","TSS","OG","pH","Phenols","COD","Source"
2015-04-01,NA,NA,NA,8,7,0.3,111,"WWTP-1"
2015-04-02,NA,NA,NA,6,7,0.4,107,"WWTP-1"
2015-04-03,NA,NA,NA,4,7,0.4,93,"WWTP-1"
2015-04-04,NA,NA,NA,6,7,0.4,97,"WWTP-1"
2015-04-05,NA,NA,NA,NA,7,0.4,95,"WWTP-1"
2015-04-06,NA,50,39,4,7,0.3,125,"WWTP-1"
2015-04-07,NA,NA,NA,4,7,0.3,109,"WWTP-1"
2015-04-08,NA,NA,NA,3,7,0.3,89,"WWTP-1"
2015-04-09,NA,NA,NA,8,7,0.3,111,"WWTP-1"
2015-04-10,NA,NA,NA,9,7,0.3,128,"WWTP-1"
2015-04-11,NA,NA,NA,9,7,0.5,161,"WWTP-1"
2015-04-12,NA,NA,NA,NA,7,0.5,169,"WWTP-1"
2015-04-13,NA,54,48,7,7,0.5,160,"WWTP-1"
2015-04-14,NA,NA,NA,8,7,0.3,120,"WWTP-1"
2015-04-15,NA,NA,NA,4,7,0.3,112,"WWTP-1"
2015-04-16,NA,NA,NA,5,7,0.4,160,"WWTP-1"
2015-04-17,"0",NA,NA,5,7,0.5,120,"WWTP-1"
2015-04-18,NA,NA,NA,7,7,0.5,160,"WWTP-1"
2015-04-19,NA,50,50,NA,7,0.5,112,"WWTP-1"
2015-04-20,NA,NA,NA,7,7,0.3,80,"WWTP-1"
2015-04-21,NA,NA,NA,6,7,0.4,56,"WWTP-1"
2015-04-22,NA,NA,NA,3,7,0.4,55,"WWTP-1"
2015-04-23,NA,NA,NA,3,7,0.3,60,"WWTP-1"
2015-04-24,NA,NA,NA,3,7,0.3,58,"WWTP-1"
2015-04-25,NA,NA,NA,3,7,0.3,60,"WWTP-1"
2015-04-26,NA,NA,NA,NA,7,0.4,55,"WWTP-1"
2015-04-27,NA,16,27,3,7,0.3,60,"WWTP-1"
2015-04-28,NA,NA,NA,3,7,0.3,50,"WWTP-1"
2015-04-29,NA,NA,NA,4,7,0.3,55,"WWTP-1"
2015-04-30,NA,NA,NA,5,7,0.2,54,"WWTP-1"
2015-05-01,NA,NA,NA,4,7,0.2,50,"WWTP-1"
2015-05-02,NA,NA,NA,3,7,0.3,48,"WWTP-1"
2015-05-03,NA,NA,NA,NA,7,0.3,51,"WWTP-1"
2015-05-04,NA,13,23,3,7,0.3,58,"WWTP-1"
2015-05-05,NA,NA,NA,3,7,0.3,50,"WWTP-1"
2015-05-06,NA,NA,NA,NA,NA,NA,NA,"WWTP-1"
2015-05-07,NA,NA,NA,NA,NA,NA,NA,"WWTP-1"
2015-05-08,NA,NA,NA,5,7,0.2,55,"WWTP-1"
2015-05-09,NA,NA,NA,3,7,0.3,56,"WWTP-1"
2015-05-10,NA,NA,NA,NA,7,0.5,53,"WWTP-1"
2015-05-11,NA,25,56,7,7,0.4,55,"WWTP-1"
2015-05-12,NA,NA,NA,3,7,0.4,60,"WWTP-1"
2015-05-13,NA,NA,NA,3,7,0.3,52,"WWTP-1"
2015-05-14,NA,NA,NA,5,7,0.1,52,"WWTP-1"
2015-05-15,NA,NA,NA,4,7,0.1,56,"WWTP-1"
2015-05-16,NA,NA,NA,4,7,NA,52,"WWTP-1"
2015-05-17,NA,NA,NA,NA,7,0.1,58,"WWTP-1"
2015-05-18,NA,80,49,3,7,NA,60,"WWTP-1"
2015-05-19,NA,NA,NA,3,7,0.1,56,"WWTP-1"
2015-05-20,NA,NA,NA,2,7,NA,54,"WWTP-1"
2015-05-21,NA,NA,NA,3,7,0.1,40,"WWTP-1"
2015-05-22,NA,NA,NA,3,7,0.1,40,"WWTP-1"
2015-05-23,NA,NA,NA,3,7,0.1,49,"WWTP-1"
2015-05-24,NA,NA,NA,NA,7,0.1,54,"WWTP-1"
2015-05-25,NA,36,25,3,8,0.1,45,"WWTP-1"
2015-05-26,NA,NA,NA,4,7,0.1,48,"WWTP-1"
2015-05-27,NA,NA,NA,1,7,NA,36,"WWTP-1"
2015-05-28,NA,NA,NA,3,7,NA,42,"WWTP-1"
2015-05-29,NA,NA,NA,4,7,NA,54,"WWTP-1"
2015-05-30,NA,NA,NA,1,7,NA,49,"WWTP-1"
2015-05-31,NA,NA,NA,4,7,NA,40,"WWTP-1"
2015-06-01,NA,18,28,NA,NA,NA,NA,"WWTP-1"
2015-06-02,NA,NA,NA,1,7,NA,58,"WWTP-1"
2015-06-03,NA,NA,NA,1,7,NA,22,"WWTP-1"
2015-06-04,NA,NA,NA,1,7,NA,45,"WWTP-1"
2015-06-05,NA,NA,NA,1,7,NA,32,"WWTP-1"
2015-06-06,NA,NA,NA,1,7,NA,45,"WWTP-1"
2015-06-07,NA,NA,NA,6,7,NA,41,"WWTP-1"
2015-06-08,NA,15,65,1,7,NA,51,"WWTP-1"
2015-06-09,NA,NA,NA,3,7,NA,56,"WWTP-1"
2015-06-10,NA,NA,NA,1,7,NA,35,"WWTP-1"
2015-06-11,NA,NA,NA,1,7,NA,27,"WWTP-1"
2015-06-12,NA,NA,NA,1,7,NA,25,"WWTP-1"
2015-06-13,NA,NA,NA,1,7,NA,35,"WWTP-1"
2015-06-14,NA,NA,NA,NA,7,NA,24,"WWTP-1"
2015-06-15,NA,10,25,4,7,NA,31,"WWTP-1"
2015-06-16,NA,NA,NA,1,7,NA,37,"WWTP-1"
2015-06-17,NA,NA,NA,3,7,NA,35,"WWTP-1"
2015-06-18,NA,NA,NA,1,7,NA,52,"WWTP-1"
2015-06-19,NA,NA,NA,0,7,NA,45,"WWTP-1"
2015-06-20,NA,NA,NA,1,7,NA,49,"WWTP-1"
2015-06-21,NA,NA,NA,4,7,NA,40,"WWTP-1"
2015-06-22,NA,10,125,1,7,NA,48,"WWTP-1"
2015-06-23,NA,NA,NA,1,7,NA,56,"WWTP-1"
2015-06-24,NA,NA,NA,0,7,NA,31,"WWTP-1"
2015-06-25,NA,NA,NA,3,7,NA,59,"WWTP-1"
2015-06-26,NA,NA,NA,3,7,NA,53,"WWTP-1"
2015-06-27,NA,NA,NA,1,6,NA,50,"WWTP-1"
2015-06-28,NA,NA,NA,8,7,0.1,51,"WWTP-1"
2015-06-29,NA,NA,NA,4,7,0.1,44,"WWTP-1"
2015-06-30,NA,NA,NA,1,7,0.1,56,"WWTP-1"
2015-07-01,NA,NA,NA,1,7,0.01,55,"WWTP-1"
2015-07-02,NA,NA,NA,1.3,7,0.04,58,"WWTP-1"
2015-07-03,NA,NA,NA,4,7,0.05,45,"WWTP-1"
2015-07-04,NA,NA,NA,1.3,7,0.02,55,"WWTP-1"
2015-07-05,NA,NA,NA,NA,7,0.03,60,"WWTP-1"
2015-07-06,NA,12,28,2.7,7,0.03,58,"WWTP-1"
2015-07-07,NA,NA,NA,1.3,7,0.04,54,"WWTP-1"
2015-07-08,NA,NA,NA,2.7,7,0.01,45,"WWTP-1"
2015-07-09,NA,NA,NA,1.3,7,0.05,60,"WWTP-1"
2015-07-10,NA,NA,NA,4,6,0.05,53,"WWTP-1"
2015-07-11,NA,NA,NA,4.3,6,0.03,57,"WWTP-1"
2015-07-12,NA,NA,NA,4,7,0.02,60,"WWTP-1"
2015-07-13,NA,26,47,5,6,0.05,55,"WWTP-1"
2015-07-14,NA,NA,NA,1.8,6,0.01,59,"WWTP-1"
2015-07-15,NA,NA,NA,2.6,7,0.02,52,"WWTP-1"
2015-07-16,NA,NA,NA,2.6,7,0.04,45,"WWTP-1"
2015-07-17,NA,NA,NA,3.3,7,0.04,58,"WWTP-1"
2015-07-18,NA,NA,NA,3,7,0.04,57,"WWTP-1"
2015-07-19,NA,NA,NA,2,7,0.02,51,"WWTP-1"
2015-07-20,NA,16,36,1.3,7,0.02,52,"WWTP-1"
2015-07-21,NA,NA,NA,2.7,7,0.04,53,"WWTP-1"
2015-07-22,NA,NA,NA,2.7,7,0.05,37,"WWTP-1"
2015-07-23,NA,NA,NA,5,7,0.01,46,"WWTP-1"
2015-07-24,NA,NA,NA,5,7,0.01,44,"WWTP-1"
2015-07-25,NA,NA,NA,5,7,0.03,60,"WWTP-1"
2015-07-26,NA,NA,NA,4,7,0.05,58,"WWTP-1"
2015-07-27,NA,12,50,1.3,7,0.04,53,"WWTP-1"
2015-07-28,"No discharge",NA,NA,3,7,0.02,43,"WWTP-1"
2015-07-29,NA,NA,NA,2.7,8,0.01,45,"WWTP-1"
2015-07-30,NA,NA,NA,3,7,0.05,37,"WWTP-1"
2015-07-31,NA,NA,NA,2.7,7,0.04,44,"WWTP-1"
2015-08-01,NA,NA,NA,2.7,7,0.01,45,"WWTP-1"
2015-08-02,NA,NA,NA,NA,7,0.04,52,"WWTP-1"
2015-08-03,NA,10,21,1.3,7,0.03,36,"WWTP-1"
2015-08-04,NA,NA,NA,1.3,7,0.02,20,"WWTP-1"
2015-08-05,NA,NA,NA,1.3,7,0.02,30,"WWTP-1"
2015-08-06,NA,NA,NA,1.3,7,0.03,31,"WWTP-1"
2015-08-07,NA,NA,NA,1.3,7,0.01,43,"WWTP-1"
2015-08-08,"No discharge",NA,NA,1.3,7,0.03,32,"WWTP-1"
2015-08-09,NA,NA,NA,3.8,7,0.05,58,"WWTP-1"
2015-08-10,NA,10,40,1.3,6,0.04,49,"WWTP-1"
2015-08-11,NA,NA,NA,2.7,6,0.04,20,"WWTP-1"
2015-08-12,NA,NA,NA,1.3,7,0.05,24,"WWTP-1"
2015-08-13,NA,NA,NA,1.3,6,0.05,60,"WWTP-1"
2015-08-14,NA,NA,NA,1.3,6,0.01,56,"WWTP-1"
2015-08-15,NA,NA,NA,1.3,7,0.03,60,"WWTP-1"
2015-08-16,NA,NA,NA,1.3,7,0.04,54,"WWTP-1"
2015-08-17,NA,19,15,NA,7,0.02,49,"WWTP-1"
2015-08-18,NA,NA,NA,2.7,7,0.03,44,"WWTP-1"
2015-08-19,NA,NA,NA,NA,7,0.04,54,"WWTP-1"
2015-08-20,NA,NA,NA,1.3,7,0.02,59,"WWTP-1"
2015-08-21,NA,NA,NA,1.3,7,0.05,51,"WWTP-1"
2015-08-22,NA,NA,NA,NA,7,0.05,12,"WWTP-1"
2015-08-23,NA,NA,NA,1.3,7,0.01,29,"WWTP-1"
2015-08-24,NA,5,49,2.7,7,0.03,46,"WWTP-1"
2015-08-25,NA,NA,NA,NA,7,0.02,44,"WWTP-1"
2015-08-26,NA,NA,NA,1.3,7,0.02,40,"WWTP-1"
2015-08-27,NA,NA,NA,NA,7,0.02,59,"WWTP-1"
2015-08-28,NA,NA,NA,1.3,7,0.02,53,"WWTP-1"
2015-08-29,NA,NA,NA,NA,8,0.01,33,"WWTP-1"
